id,title,author,desc,rmb,usd,idr,pdf,epub
1,逻辑学导论（第15版）,Irving M. Copi / Carl Cohen / Victor Rodych,全球高校使用最广泛的逻辑学经典教材，系统整合三段论与现代符号逻辑。,39,5.99,89000,book1.pdf,book1.epub
2,被追赶的经济体,辜朝明,提出“资产负债表衰退”理论，解释发达经济体长期低增长问题。,29,4.99,69000,book2.pdf,
3,深度关系：从建立信任到彼此成就,David Bradford / Carole Robin,斯坦福商学院经典课程成果，系统讲解深度人际关系的建立方法。,25,3.99,59000,book3.pdf,book3.epub
4,自然百年物理经典（英汉对照·2卷）,赵忠贤 / Philip Ball,精选《Nature》百年物理经典论文，权威英汉对照阅读。,99,14.99,229000,book4.pdf,
5,外研社双语读库·社会文化书系（61本）,多位中外作家,社会观察与文化随笔合集，提升英语阅读与人文素养。,149,21.99,349000,book5.pdf,
6,外研社双语读库·西方文学社科经典（194本）,多位世界文学大师,涵盖19-20世纪西方文学与社科经典的超大合集。,199,29.99,469000,book6.pdf,
7,神奇树屋 中英双语系列,Mary Pope Osborne,全球畅销儿童英语读物，适合英语启蒙与亲子阅读。,59,8.99,139000,book7.pdf,
8,伟大的思想 中英双语版（48册）,柏拉图 / 尼采 等,思想史经典合集，覆盖哲学、经济、政治与科学。,129,18.99,299000,book8.pdf,
9,企鹅经典·小黑书 中英双语（50本）,多位经典作家,企鹅出版社短经典合集，适合碎片化高质量阅读。,79,11.99,189000,book9.pdf,
10,美国语文 英汉双译（1–6册）,William H. McGuffey,塑造美国教育体系的经典英语读本。,69,9.99,159000,book10.pdf
